Name,Gen,Description
Mechanical Box,VIII,"Once bought, it is sent to the player's home allowingRotomto change into Heat Rotom."
Mechanical Cabinet,VIII,"Once bought, it is sent to the player's home allowingRotomto change into Frost Rotom."
Mechanical Circular Saw,VIII,"Once bought, it is sent to the player's home allowingRotomto change into Mow Rotom."
Mechanical Pinwheel,VIII,"Once bought, it is sent to the player's home allowingRotomto change into Fan Rotom."
Mechanical Tub,VIII,"Once bought, it is sent to the player's home allowingRotomto change into Wash Rotom."
Medal Box,V,A box-shaped machine that stores Medals and Medal information.
Medichamite,VI,AllowsMedichamtoMega Evolveinto Mega Medicham.
Medicinal Leek,VIII,Used to craftMedicineitems inHisui.
Mega Bracelet,VI,Allows the player toMega Evolvea Pokémon holding the appropriateMega Stone.
Mega Ring,VI,Allows the player toMega Evolvea Pokémon holding the appropriateMega Stone.
Meltan Candy,VII,Increase all stats of a member of theMeltanfamily by oneAVpoint.
Member Card,IV,Allows access to theCanalave Cityhotel to faceDarkrai.
Mental Herb,III,Prevents attraction. Consumed after use.
Meowth Candy,VII,Increase all stats of a member of theMeowthfamily by oneAVpoint.
Mesprit's Plume,VIII,One of the items used to obtain theRed Chain.
Metagrossite,VI,AllowsMetagrosstoMega Evolveinto Mega Metagross.
Metal Alloy,IX,Used toevolveDuraludonintoArchaludon.
Metal Coat,II,Raises the power ofSteel-typemoves. AllowsOnixandScytherto evolve when traded.
Metal Powder,II,RaisesDitto'sDefense.
Meteorite,III,Deliver toProfessor CozmoRSEorLostelle's father.FRLGEnables theRayquazafeatured in theDelta EpisodetoMega Evolve.ORASAllows theplayertransformDeoxysinto any ofits forms.SV
Meteorite Shard,VI,To be delivered toSteven StoneandProfessor Cozmo.
Metronome,IV,Raises power of moves used in a row.
Mew Candy,VII,Increase all stats of a member of theMewfamily by oneAVpoint.
Mewnium Z,VII,AllowsMewto upgradePsychicto the specialZ-MoveGenesis Supernova.
Mewtwo Candy,VII,Increase all stats of a member of theMewtwofamily by oneAVpoint.
Mewtwonite X,VI,AllowsMewtwotoMega Evolveinto Mega Mewtwo X.
Mewtwonite Y,VI,AllowsMewtwotoMega Evolveinto Mega Mewtwo Y.
Micle Berry,IV,Raises a move's accuracy just once when HP is below ⅓ of maximum.
Mighty Candy,VII,Increase a Pokémon'sAttackby 1AVuntil it has reached 50AV's in the stat.
Mighty Candy L,VII,Increase alevel30+ Pokémon'sAttackby 1AVuntil it has reached 100AV's in the stat.
Mighty Candy XL,VII,Increase alevel60+ Pokémon'sAttackby 1AVuntil it has reached 200AV's in the stat.
Mild Mint,VIII,Changes a Pokémon'sNatureto Mild.
Mimikium Z,VII,AllowsMimikyuto upgradePlay Roughto the specialZ-MoveLet's Snuggle Forever.
Mind Plate,IV,Raises the power ofPsychic-typemoves. Changes the moveJudgmenttoPsychic-type.
Mint Berry,II,Awakens asleepingPokémon.
Mint Chairs,IX,One of the chair sets the player can use during apicnic.
Mint Tablecloth,IX,One of the tablecloths the player can use during apicnic.
MiracleBerry,II,Cures anystatus condition.
Miracle Seed,II,Raises the power ofGrass-typemoves.
Mirage Mail,II,Mail with aMewpattern. Available only throughMystery Gift. To be held by a Pokémon for delivery.
Miraidon's Poké Ball,IX,Allows the player to call uponMiraidonto help them in various ways.
Miror Radar,III,Keeps track ofMiror B.
Mirror Herb,IX,Copies the opponents' stat increases in battle and allows Pokémon to copyEgg Movesduring apicnic.
Misty Seed,VII,A one-time use item that raises the holder'sSp. Defenseby one stage upon activation ofMisty Terrain.
Mixed Mushrooms,VIII,Ingredient forcurry.
Modest Mint,VIII,Changes a Pokémon'sNatureto Modest.
Moltres Candy,VII,Increase all stats of a member of theMoltresfamily by oneAVpoint.
Moltres Treat,IX,Allows theplayerto encounterMoltresin theTerarium.
Monstrous Chairs,IX,One of the chair sets the player can use during apicnic.
Monstrous Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Moomoo Cheese,VIII,Ingredient forcurry.
Moomoo Milk,II,Restores 100 HP.
Moon Ball,II,A type of Poké Ball that works better on Pokémon that evolve using theMoon Stone.
Moon Flute,VII,Used to evolveNebbyintoLunalaat theAltar of the Moone.
Moon Shard,III,AllowsEeveeto evolve intoUmbreoninPokémon XD: Gale of Darkness.
Moon Stone,I,"Can be used to evolveClefairy,Jigglypuff,Nidorino,Nidorina, andSkitty."
Morph Mail,II,Mail with aDittodesign. To be held by a Pokémon for delivery.
Mosaic Mail,IV,Mail with a rainbow pattern. To be held by a Pokémon for delivery.
Mountain Balm,VIII,Can be used to calm frenziedHisuianElectrode.
Mr. Mime Candy,VII,Increase all stats of a member of theMr. Mimefamily by oneAVpoint.
Muscle Band,IV,Raises the power ofphysical moves.
Muscle Feather,V,Raises theAttackof a Pokémon.Note:Known asMuscle Wingprior to Generation VIII.
Muscle Mochi,IX,Increases a Pokémon'sAttackEVsby 10.
Mushroom Cake,VIII,Used to attract certain Pokémon.
Music Disc,III,Allows a change of music inTrest's house.
Music Mail,II,Mail with aNatudesign. Only available throughMystery Gift. To be held by a Pokémon for delivery.
Mustard,IX,An ingredient forsandwiches.
Mysterious Balm,VIII,"Can be used in the battle againstArceus, allowing the player to catch it."
Mysterious Shard S,VIII,Can be exchanged forSlatesinRamanas Park.
Mysterious Shard L,VIII,Can be exchanged forSlatesinRamanas Park.
MysteryBerry,II,Restores 5 PP.
Mystery Egg,II,Hatches intoTogepi.
Mystic Water,II,Raises the power ofWater-typemoves.
MysticTicket,III,Allows the player to accessNavel Rockand catchLugiaandHo-Oh.
Mythical Pecha Berry,VIII,Used to access an event related toPecharunt.
Naive Mint,VIII,Changes a Pokémon'sNatureto Naive.
Nanab Berry,III,PokéblockandPoffiningredient.
Naughty Mint,VIII,Changes a Pokémon'sNatureto Naughty.
Necrozma Treat,IX,Allows theplayerto encounterNecrozmain theTerarium.
Nest Ball,III,A type of Poké Ball that works better on low-level Pokémon.
Net Ball,III,A type of Poké Ball that works better onWater- andBug-typePokémon.
Never-Melt Ice,II,Raises the power ofIce-typemoves.Note:Formatted asNeverMeltIceprior toGeneration VI.
Nidoran♀ Candy,VII,Increase all stats of a member of theNidoran♀family by oneAVpoint.
Nidoran♂ Candy,VII,Increase all stats of a member of theNidoran♂family by oneAVpoint.
Niniku Berry,III,Pokéblockingredient. Will become anEnigma Berryif transferred toGeneration IVviaPal Park.
N-Lunarizer,VII,AllowsNecrozmato fuse withLunalato become Dawn Wings Necrozma.
Nomel Berry,III,PokéblockandPoffiningredient.
Noodles,IX,An ingredient forsandwiches.
Normal Box,II,Sometimes held by reward Pokémon from clearingGym Leader CastleinPokémon Stadiumwhen traded toGeneration IIorPokémon Stadium 2.
Normal Gem,V,"Increases the power of the holder's firstNormal-typemove by 50%, and is consumed after use."
Normal Tera Shard,IX,Used to change theTera Typeof a Pokémon toNormaltype.
Normalium Z,VII,Allows a Pokémon to upgrade theirNormal-typedamaging moves to theZ-MoveBreakneck Blitzor upgrade their Normal-type status moves into Z-Moves.
N-Solarizer,VII,AllowsNecrozmato fuse withSolgaleoto become Dusk Mane Necrozma.
Nugget,I,Can be sold for$5000.
Nutpea Berry,III,Pokéblockingredient. It will become anEnigma Berryif transferred toGeneration IVviaPal Park.
Oak's Letter,IV,Opens theSeabreak Pathand allows the user to faceShaymin.
Oak's Parcel,I,Deliver toProfessor Oakto receive aPokédex.
Occa Berry,IV,Reduces damage taken from asuper effectiveFire-typemove.
Oceanic Slate,VIII,Allows the player to fightKyogrein the Oceanic Room.
Odd Incense,IV,Raises the power ofPsychic-typemoves.Mr. Mimeholding this can breedMime Jr.
Odd Keystone,IV,A stone that can trapSpiritomb.
Oddish Candy,VII,Increase all stats of a member of theOddishfamily by oneAVpoint.
Old Amber,I,A Fossil from which anAerodactylcan be resurrected.
Old Charm,IV,Cynthiaasks the player to deliver toCelestic Town. Is made of Pokémon bones.
Old Gateau,IV,Cures anystatus condition.
Old Journal,VIII,"Used in the ""Traces of a Lost Village"" request."
Old Letter,VIII,Delivering the letter to a man named Frank inBallonleaearns the player aChoice Scarf.
Old Rod,I,Can be used in or next to water to initiate a battle with a low-level aquatic Pokémon.
Old Sea Map,III,"Event item that gives player access toFaraway Island, whereMewcan be caught."
Old Verses,VIII,Item that contain poetry aboutHisui.
Olive Oil,IX,An ingredient forsandwiches.
Omanyte Candy,VII,Increase all stats of a member of theOmanytefamily by oneAVpoint.
Onion,IX,An ingredient forsandwiches.
Onix Candy,VII,Increase all stats of a member of theOnixfamily by oneAVpoint.
Oran Berry,III,Restores 10 HP.
Orange Dish,IX,One of the dishes the player can use to make asandwichon.
Orange Mail,III,Mail with aZigzagoonprint. To be held by a Pokémon for delivery.
Orange Petal,VII,An orange petal required to complete Mina's Trial.
Origin Ball,VIII,A type of Poké Ball that can catchOrigin FormeDialgaorOrigin FormePalkia. It cannot be used to catch any other Pokémon.
Origin Ore,VIII,Used to craft theOrigin Ball.
Oval Charm,V,An oval charm said to increase the chance of Eggs being found at the Day Care.
Oval Stone,IV,"When held, allowsHappinyto evolve."
Pack of Potatoes,VIII,Ingredient forcurry.
Packaged Curry,VIII,Ingredient forcurry.
Pair of Tickets,VI,Allows entry for two to theMossdeep Space Centerfor theLitleonidstar show.
Pal Pad,IV,Used to record friends onNintendo Wi-Fi Connectionand registerFriend Codes.
Pamtre Berry,III,PokéblockandPoffiningredient.
Paralyze Heal,I,Healsparalysis.Note:CalledParlyz Healprior toGeneration VI.
Paras Candy,VII,Increase all stats of a member of theParasfamily by oneAVpoint.
Parasol Pick,IX,One of the picks the player can use to make asandwich.
Parcel,IV,To be delivered torival. Contains twoTown Maps.
Park Ball,IV,A type of Poké Ball that is used to recaptureGeneration IIIPokémon in thePal Park.
Party Sparkler Pick,IX,One of the picks the player can use to make asandwich.
Pass,II,"Allows the player to ride theMagnet TrainbetweenSaffron City,Kanto; andGoldenrod City,Johto."
Pass Orb,V,Used for purchasingPass Powersat theEntralink.
Passho Berry,IV,Reduces damage from asuper effectiveWater-typemove.
Pasta,VIII,Ingredient forcurry.
Payapa Berry,IV,Reduces damage from asuper effectivePsychic-typemove.
Peach Chairs,IX,One of the chair sets the player can use during apicnic.
Peach Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Peanut Butter,IX,An ingredient forsandwiches.
Pearl,II,Can be sold for$3750.
Pearl String,V,Can be sold for$25000 to the ore collector.
Peat Block,VIII,Used to evolveUrsaringintoUrsaluna.
Pecha Berry,III,Curespoison.
Pep-Up Plant,VIII,Used to craft items inHisui.
Pepper,IX,An ingredient forsandwiches.
Permit,V,A permit needed to enter the Nature Preserve. Only a few know about this place.
Persim Berry,III,Curesconfusion.
Petaya Berry,III,RaisesSpecial Attackif HP is below ⅓ of maximum.
Pewter Crunchies,VII,Heal all status conditions (as well as confusion) of a single Pokémon.
Pickle,IX,An ingredient forsandwiches.
Picnic Set,IX,Used to set uppicnics.
Pidgeotite,VI,AllowsPidgeottoMega Evolveinto Mega Pidgeot.
Pidgey Candy,VII,Increase all stats of a member of thePidgeyfamily by oneAVpoint.
Pika-Pika Pick,IX,One of the picks the player can use to make asandwich.
Pikachu Candy,VII,Increase all stats of a member of thePikachufamily by oneAVpoint.
Pikachu Cup,IX,One of the cups the player can use during apicnic.
Pikanium Z,VII,AllowsPikachuto upgradeVolt Tackleto the specialZ-MoveCatastropika.
Pikashunium Z,VII,"AllowsPikachu in a capto upgradeThunderboltto the specialZ-Move10,000,000 Volt Thunderbolt."
Pinap Berry,III,PokéblockandPoffiningredient.
Pineapple,IX,An ingredient forsandwiches.
Pink Apricorn,II,Kurtwill make aLove Ballout of it.Note:Formatted asPnk Apricornprior to Generation VI.
Pink Bottle,IX,One of the water bottles the player can use during apicnic.
Pink Bow,II,Raises the power ofNormal-typemoves.
Pink Chairs,IX,One of the chair sets the player can use during apicnic.
Pink Cup,IX,One of the cups the player can use during apicnic.
Pink Nectar,VII,ChangesOricorioto its Pa'u Style.
Pink Petal,VII,A pink petal required to complete Mina's Trial.
Pink Scarf,III,Raises theCutecondition.
Pink Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Pinsir Candy,VII,Increase all stats of a member of thePinsirfamily by oneAVpoint.
Pinsirite,VI,AllowsPinsirtoMega Evolveinto Mega Pinsir.
Pixie Plate,VI,Raises the power ofFairy-typemoves. Changes the moveJudgmenttoFairy-type.
Plaid Chairs (B),IX,One of the chair sets the player can use during apicnic.
Plaid Chairs (R),IX,One of the chair sets the player can use during apicnic.
Plaid Chairs (Y),IX,One of the chair sets the player can use during apicnic.
Plaid Tablecloth (B),IX,One of the tablecloths the player can use during apicnic.
Plaid Tablecloth (R),IX,One of the tablecloths the player can use during apicnic.
Plaid Tablecloth (Y),IX,One of the tablecloths the player can use during apicnic.
Plasma Card,V,A card key needed to enter the password inside the Plasma Frigate.
Plume Fossil,V,A Fossil from which anArchencan be resurrected.
Plump Beans,VIII,Used to craftBean CakesinHisuiand bait certain Pokémon.
Poffin Case,IV,StoresPoffins.
Point Card,IV,StoresBattle Points(BP) earned at theBattle TowerorBattle Frontier.
Poison Barb,II,Raises the power ofPoison-typemoves.
Poison Gem,V,"Increases the power of the holder's firstPoison-typemove by 50%, and is consumed after use."
Poison Memory,VII,MakesSilvallyaPoison-typePokémon and makesMulti-Attacka Poison-type move.
Poison Tera Shard,IX,Used to change theTera Typeof a Pokémon toPoisontype.
Poisonium Z,VII,Allows a Pokémon to upgrade theirPoison-typedamaging moves to theZ-MoveAcid Downpouror upgrade their Poison-type status moves into Z-Moves. MakesArceusa Poison-type Pokémon.
Poké Ball,I,A ball used to catch Pokémon.
Poké Ball,VIII,A ball used to catch Pokémon. Only craftable inHisui.
Poké Doll,I,Allows the player to flee from any battle with a wild Pokémon.
Poké Flute,I,AwakenssleepingPokémon.
Poké Radar,IV,Allows player to encounter wild Pokémon not usually seen in the area. Obtained after receiving National Pokédex.
Poké Snack,III,Can be placed atPoké Spotsto attract wild Pokémon.
Poké Toy,V,Allows the player to flee from any battle with a wild Pokémon.
Pokéblock Case,III,StoresPokéblocks.
Pokéblock Kit,VI,Allows the player to make and storePokéblocks.
Pokédex*,I,Stores info about Pokémon that have been seen/caught.
Pokédex,VIII,Allows the player to surveyHisuiand collect information about Pokémon.
Pokémon Box Link,VII,Allows thePokémon Storage Systemto be accessed from almost anywhere.
Pokéshi Doll,VIII,"Can be sold for$1,000."
Polka-Dot Bottle,IX,One of the water bottles the player can use during apicnic.
Polka-Dot Chairs,IX,One of the chair sets the player can use during apicnic.
Polka-Dot Cup,IX,One of the cups the player can use during apicnic.
Polka-Dot Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Polkadot Bow,II,Raises the power ofNormal-typemoves.
Polished Mud Ball,VII,Can be sold for$600.
Poliwag Candy,VII,Increase all stats of a member of thePoliwagfamily by oneAVpoint.
Pomeg Berry,III,"Makes a Pokémon more happy, but lowersEVsforHP."
Ponyta Candy,VII,Increase all stats of a member of thePonytafamily by oneAVpoint.
Pop Pod,VIII,Used to craftScatter BangsinHisui.
Portraitmail,II,Mail that contains a silhouette of the Pokémon holding it. To be held by a Pokémon for delivery.
Porygon Candy,VII,Increase all stats of a member of thePorygonfamily by oneAVpoint.
Potato Salad,IX,An ingredient forsandwiches.
Potato Tortilla,IX,An ingredient forsandwiches.
Potion,I,Restores 20 HP.
Power Anklet,IV,"PromotesSpeedEVs, but lowersSpeedin battle."
Power Band,IV,"PromotesSpecial DefenseEVs, but lowersSpeedin battle."
Power Belt,IV,"PromotesDefenseEVs, but lowersSpeedin battle."
Power Bracer,IV,"PromotesAttackEVs, but lowersSpeedin battle."
Power Herb,IV,Allows user to skip first turn of moves that require charging.
Power Lens,IV,"PromotesSpecial AttackEVs, but lowersSpeedin battle."
Power Plant Pass,VI,Allows access to theKalos Power Plant.
Power Weight,IV,"PromotesHPEVs, but lowersSpeedin battle."
Powerup Part,III,Used to fix theKids Gridsystem.
Powder Jar,III,StoresBerryPowder made fromBerry Crush.
PP Max,III,Raises thePPof a move to the maximum.
PP Up,I,Raises thePPof a move.
Precooked Burger,VIII,Ingredient forcurry.
Premier Ball,III,A Poké Ball with special coloring. The Poké Mart cashier will give one to the player for free if ten or more standard Poké Balls are purchased.
Pretty Feather,V,An item that does absolutely nothing.Note:Known asPretty Wingprior to Generation VIII.
Primarium Z,VII,AllowsPrimarinato upgradeSparkling Ariato the specialZ-MoveOceanic Operetta.
Prism Scale,V,A hold item that allowsFeebasto evolve when traded.
Prison Bottle,VI,Used to transformHoopaConfinedto Hoopa Unbound.
Prof's Letter,VI,Given to the player'smotherin exchange for aTown Mapand aPotion.
Professor's Mask,VII,Returned toProfessor KukuiatMalie Garden.
Prop Case,V,Used to holdPropsfor thePokémon Musical.
Prosciutto,IX,An ingredient forsandwiches.
Protective Pads,VII,Protects the holder from effects caused by using moves that makecontactwith the target.
Protector,IV,A held item that allowsRhydonto evolve when traded.
Protein,I,Raises theAttackof a Pokémon.
PRZCureBerry,II,Curesparalysis.
PSNCureBerry,II,Curespoison.
Psychic Gem,V,"Increases the power of the holder's firstPsychic-typemove by 50%, and is consumed after use."
Psychic Memory,VII,MakesSilvallyaPsychic-typePokémon and makesMulti-Attacka Psychic-type move.
Psychic Seed,VII,A one-time use item that raises the holder'sSp. Defenseby one stage upon activation ofPsychic Terrain.
Psychic Tera Shard,IX,Used to change theTera Typeof a Pokémon toPsychictype.
Psychium Z,VII,Allows a Pokémon to upgrade theirPsychic-typedamaging moves to theZ-MoveShattered Psycheor upgrade their Psychic-type status moves into Z-Moves. MakesArceusa Psychic-type Pokémon.
Psyduck Candy,VII,Increase all stats of a member of thePsyduckfamily by oneAVpoint.
Pumkin Berry,III,"Cures afrozenPokémon. If transferred toGeneration IVviaPal Park, it will turn into anEnigma Berry."
Punching Glove,IX,Increases the power ofpunching movesand prevents saidmovesfrom makingcontactwith targets.
Pungent Root,VIII,Ingredient forcurry.
Pure Incense,IV,CausesChimechoto produce aChinglingEgg at thePokémon Day Care. Also lowers wild Pokémon encounter rate.
Purple Nectar,VII,ChangesOricorioto its Sensu Style.
Purple Petal,VII,A purple petal required to complete Mina's Trial.
Qualot Berry,III,"Raises friendship, but lowersDefenseEVs."
Quick Ball,IV,A type of Poké Ball that works better the earlier in battle it is used.
Quick Candy,VII,Increase a Pokémon'sSpeedby 1AVuntil it has reached 50AV's in the stat.
Quick Candy L,VII,Increase alevel30+ Pokémon'sSpeedby 1AVuntil it has reached 100AV's in the stat.
Quick Candy XL,VII,Increase alevel60+ Pokémon'sSpeedby 1AVuntil it has reached 200AV's in the stat.
Quick Claw,II,May allow the user to move first.
Quick Powder,IV,RaisesDitto's speed.
Quiet Mint,VIII,Changes a Pokémon'sNatureto Quiet.
Rabuta Berry,III,PokéblockandPoffiningredient.
Radiant Petal,VIII,Used alongside a tuft ofWhite Mane HairorBlack Mane Hairto create theReins of Unity.
Rage Candy Bar,II,"In most games, restores HP or heals status conditions.Note:Formatted asRageCandyBarprior toGeneration VI."
Raikou Treat,IX,Allows theplayerto encounterRaikouin theTerarium.
Rainbow Flower,VII,"A rainbow flower created from the Seven Petals obtained from Mina's trial, and required to finish Mina's Trial."
Rainbow Pass,III,Allows the player access to all of theSevii Islands.
Rainbow Slate,VIII,Allows the player to fightHo-Ohin the Rainbow Room.
Rainbow Wing,II,SummonsHo-Oh.
Rare Bone,IV,Can be sold for$5000.
Rare Candy,I,Instantly raises a Pokémon'slevelby 1.
Rash Mint,VIII,Changes a Pokémon'sNatureto Rash.
Rattata Candy,VII,Increase all stats of a member of theRattatafamily by oneAVpoint.
Rawst Berry,III,Cures aburn.
Rayquaza Treat,IX,Allows theplayerto encounterRayquazain theTerarium.
Razor Claw,IV,Raises the chance of getting acritical hit. AllowsSneaselto evolve at night.
Razor Fang,IV,Raises the chance of causing an opponent toflinch. AllowsGligarto evolve at night.
Razz Berry,III,PokéblockandPoffiningredient.
R-Disk,III,Moves the UFO inThe Underto the Under TV Station.
Reaper Cloth,IV,A held item that allowsDusclopsto evolve intoDusknoirwhen traded.
Recipes,VIII,Allows the player to craft certain items using the Crafting Kit.
Red Apricorn,II,Kurtwill make aLevel Ballout of it.
Red Bell Pepper,IX,An ingredient forsandwiches.
Red Card,V,Forces the opponent to switch to a random Pokémon when the holder is hit by a contact move. Consumed after use.
Red Chain,IV,A mythical chain linked to thelegendary Pokémonof theSinnohregion. Unobtainable beforeGeneration VIII.
Red Dish,IX,One of the dishes the player can use to make asandwichon.
Red Flute,III,Snaps a Pokémon out ofattraction.RSEFRLGColoXDDPPtHGSSCan be sold for$7500.BWB2W2
Red ID Badge,III,One of four keys needed to open the front door ofRealgam Tower.
Red Nectar,VII,ChangesOricorioto its Baile Style.
Red Onion,IX,An ingredient forsandwiches.
Red Orb,III,AwakensGroudon. It also turnsGroudonintoPrimalGroudonduring battle when holding the item.ORAS
Red Petal,VII,A red petal required to complete Mina's Trial.
Red Poké Ball Pick,IX,One of the picks the player can use to make asandwich.
Red Scale,II,Give toMr. Pokémonfor anExp. Share.
Red Scarf,III,Raises theCoolcondition.
Red Shard,III,Exchangeable for a variety of services.
Red-Flag Pick,IX,One of the picks the player can use to make asandwich.
Reins of Unity,VIII,Used to fuseCalyrexwithGlastrierorSpectrierto becomeIce Rider Calyrex or Shadow Rider Calyrex.
Relaxed Mint,VIII,Changes a Pokémon'sNatureto Relaxed.
Relic Band,V,Can be sold for$100000 to the villa owner inUndella Town.
Relic Copper,V,Can be sold for$1000 to the villa owner in Undella Town.
Relic Crown,V,Can be sold for$300000 to the villa owner in Undella Town.
Relic Gold,V,Can be sold for$10000 to the villa owner in Undella Town.
Relic Silver,V,Can be sold for$5000 to the villa owner in Undella Town.
Relic Statue,V,Can be sold for$200000 to the villa owner in Undella Town.
Relic Vase,V,Can be sold for$50000 to the villa owner in Undella Town.
Remedy,VIII,"Heals a Pokémon by 60HP, but lowers itsfriendship."
Repeat Ball,III,A type of Poké Ball that works better on Pokémon already caught before.
Repel,I,Preventswild Pokémonwith a lowerlevelthan the first member of thepartyfrom appearing for 100 steps
Reply Mail,V,Stationary for writing a reply. To be held by a Pokémon for delivery.
Reset Urge,V,Eliminates stat changes from an ally Pokémon. Wonder Launcher only.
Reshiram Treat,IX,Allows theplayerto encounterReshiramin theTerarium.
Resist Feather,V,Raises theDefenseof a Pokémon.Note:Known asResist Wingprior to Generation VIII.
Resist Mochi,IX,Increases a Pokémon'sDefenseEVsby 10.
Retro Mail,III,Mail with a picture of the threeKantofirst partner Pokémon.
Reveal Glass,V,A glass that tells the truth. It is a mysterious glass that returns a Pokémon back to its original shape.
Revival Herb,II,"Revives a Pokémon to full HP, but lowers friendship."
Revive,I,Revives a Pokémon to half of maximum HP.
Rhyhorn Candy,VII,Increase all stats of a member of theRhyhornfamily by oneAVpoint.
Ribbon Sweet,VIII,WhenMilceryevolves holding this theAlcremiewill have the Ribbon Sweet decoration.
Rice,IX,An ingredient forsandwiches.
Rich Mulch,VI,"When applied to a Berry patch, increases the final Berry harvest by 2 Berries."
Ride Pager,VII,"By entering certain numbers on this pager, you can summon Ride Pokémon in an instant."
Rindo Berry,IV,Reduces damage from asuper effectiveGrass-typemove.
Ring Target,V,The holder loses its type immunities.
Rock Gem,V,"Increases the power of the holder's firstRock-typemove by 50%, and is consumed after use."
Rock Incense,IV,Raises the power ofRock-typemoves. ASudowoodoholding this can breed to produceBonslyEggs.
Rock Memory,VII,MakesSilvallyaRock-typePokémon and makesMulti-Attacka Rock-type move.
Rock Tera Shard,IX,Used to change theTera Typeof a Pokémon toRocktype.
Rockium Z,VII,Allows a Pokémon to upgrade theirRock-typedamaging moves to theZ-MoveContinental Crushor upgrade their Rock-type status moves into Z-Moves. MakesArceusa Rock-type Pokémon.
Rocky Helmet,V,Any contact moves against the holder will deal 1/6 damage to the attacker.
Roller Skates,VI,Allows the player to glide around and perform tricks.
Room Service,VIII,LowersSpeedwhenTrick Roomis in effect.
Root Fossil,III,A Fossil from which aLileepcan be resurrected.
Rose Incense,IV,Raises the power ofGrass-typemoves.RoseliaandRoseradeholding this can breedBudew.
Roseli Berry,VI,Reduces damage from asuper effectiveFairy-typemove.
Roto-Stick,IX,Allows the player to take selfies from farther away.
Roto Bargain,VII,Rotom Power that reduces the prices of products at Poké Marts by half.
Roto Boost,VII,Rotom Power that raises all stats of your battling Pokémon.
Roto Catch,VII,Rotom Power that increases the chance to catch Pokémon.
Roto Encounter,VII,Rotom Power that increases the chance of encountering high-level wild Pokémon.
Roto Exp. Points,VII,Rotom Power that increases theexperienceyour Pokémon receive after a battle.
Roto Friendship,VII,Rotom Power that increases thefriendshipof Pokémon in a playersparty.
Roto Hatch,VII,Rotom Power that increasesEgghatching speed.
Roto HP Restore,VII,Rotom Power that fully restores theHPof your battling Pokémon.
Roto PP Restore,VII,Rotom Power that fully restores thePPof your battling Pokémon.
Roto Prize Money,VII,Rotom Power that triples theprize moneyyou receive after a battle.
Roto Stealth,VII,Rotom Power that decreases the chance of encountering wild Pokémon.
Rotom Bike,VIII,"Allows the player to travel faster on land. After being upgraded with Water Mode, it also allows them to ride on the water."
Rotom Catalog,VIII,Allows theplayerto change theformof aRotom.
Rotom Phone,IX,Allows the player to access multiple different functions using Rotom.
Rowap Berry,IV,"If a foe'sspecial movelands, then the foe also takes damage."
RSVP Mail,V,Stationary designed for invitations. To be held by a Pokémon for delivery.
Ruby,III,"Give toCelioalong with Sapphire to set up the Network Machine of thePokémon Network Center. It allows the player to trade with Ruby, Sapphire, and Emerald."
Running Shoes*,III,Allows theplayerto run faster.
Rusted Shield,VIII,Changes aZamazentaholding this item into itsCrowned Shield form.
Rusted Sword,VIII,Changes aZacianholding this item into itsCrowned Sword form.
S.S. Ticket,I,"Allows theplayerto board the S.S. AnneRBYFRLGPE, S.S. AquaGSCHGSS, or S.S TidalRSEORAS"
Sablenite,VI,AllowsSableyetoMega Evolveinto Mega Sableye.
Sachet,VI,AllowsSpritzeeto evolve when traded.
Sacred Ash,II,Revives all fainted Pokémon in thepartyto full HP.
Safari Ball,I,A type of Poké Ball to be used in theSafari Zone.
Safety Goggles,VI,Grants the holder immunity toweather-related damage andpowder moves.
Sail Fossil,VI,A Fossil from which anAmauracan be resurrected.
Salac Berry,III,RaisesSpeedwhen HP is below ⅓ of maximum.
Salad Mix,VIII,Ingredient forcurry.
Salamencite,VI,AllowsSalamencetoMega Evolveinto Mega Salamence.
Salt,IX,An ingredient forsandwiches.
Salt Cake,VIII,Used to attract certain Pokémon.
Salty Herba Mystica,IX,An ingredient forsandwiches.
Sand Radish,VIII,Used to craftTwice-Spiced RadishinHisui.
Sandshrew Candy,VII,Increase all stats of a member of theSandshrewfamily by oneAVpoint.
Sandwich,IX,Used to revitalizeKoraidonS/MiraidonVduring theplayer's first encounter with it atPoco Path.
Sapphire,III,"To be given toCelioalong with Ruby to set up the Network Machine of thePokémon Network Center, allowing the player to trade with Ruby, Sapphire, and Emerald."
Sassy Mint,VIII,Changes a Pokémon'sNatureto Sassy.
Sausages,VIII,Ingredient forcurry.
Scanner,III,To be exchanged for aDeep Sea ScaleorDeep Sea Tooth.
Scarlet Book,IX,Used in theZero Labto shut downProfessor Sada'stime machine.S
Scatter Bang,VIII,Scares off weak Pokémon.
Sceptilite,VI,AllowsSceptiletoMega Evolveinto Mega Sceptile.
Scizorite,VI,AllowsScizortoMega Evolveinto Mega Scizor.
Scope Lens,III,Raises chances of getting acritical hit.
Scroll of Darkness,IX,Used to evolveKubfuintoUrshifu(Single Strike Style).
Scroll of Waters,IX,Used to evolveKubfuintoUrshifu(Rapid Strike Style).
Scyther Candy,VII,Increase all stats of a member of theScytherfamily by oneAVpoint.
Sea Incense,III,Raises the power ofWater-typemoves. AMarillorAzumarillholding this can breed to produceAzurillEggs.
Seal Case,IV,HoldsSeals.
